district_code,time_of_day,foot_traffic_score
2701,sabah,71.2
2701,ogle,82.5
2701,aksam,65.3
2702,sabah,74.8
2702,ogle,88.1
2702,aksam,70.2
2703,sabah,45.3
2703,ogle,58.7
2703,aksam,40.1
2704,sabah,33.2
2704,ogle,44.8
2704,aksam,29.5
2705,sabah,28.1
2705,ogle,37.6
2705,aksam,22.4
2706,sabah,24.5
2706,ogle,31.9
2706,aksam,19.8
2707,sabah,20.3
2707,ogle,27.4
2707,aksam,16.1
2708,sabah,22.7
2708,ogle,29.3
2708,aksam,18.4
2709,sabah,17.4
2709,ogle,23.8
2709,aksam,13.2
2710,sabah,85.6
2710,ogle,92.3
2710,aksam,78.9
2711,sabah,55.2
2711,ogle,68.4
2711,aksam,49.7
2712,sabah,48.9
2712,ogle,61.3
2712,aksam,43.2
2713,sabah,62.1
2713,ogle,74.5
2713,aksam,55.8
2714,sabah,46.7
2714,ogle,59.2
2714,aksam,41.3
2715,sabah,41.3
2715,ogle,52.8
2715,aksam,36.7
2716,sabah,67.4
2716,ogle,78.9
2716,aksam,61.2
2717,sabah,70.8
2717,ogle,82.1
2717,aksam,64.5
2718,sabah,37.6
2718,ogle,49.1
2718,aksam,33.4
2719,sabah,53.4
2719,ogle,66.7
2719,aksam,47.8
2720,sabah,32.1
2720,ogle,43.6
2720,aksam,28.3
2721,sabah,79.3
2721,ogle,89.7
2721,aksam,72.6
2722,sabah,51.8
2722,ogle,64.2
2722,aksam,46.1
2723,sabah,65.3
2723,ogle,76.8
2723,aksam,58.9
2724,sabah,44.1
2724,ogle,56.5
2724,aksam,39.2
2725,sabah,46.3
2725,ogle,58.8
2725,aksam,41.5
